node_id,vi_do,kinh_do,so_nhanh,loai_giao_lo,kieu_giao_lo
366367322,10.7991329,106.6571621,6,Duong lon,Nga 6
366367617,10.8102713,106.6668589,8,Duong nho,Nga 8
366367660,10.7901425,106.6432639,8,Duong lon,Nga 8
366368733,10.7965385,106.6525594,6,Duong lon,Nga 6
366369083,10.792477,106.6460653,2,Duong nho,Duong thang
366369484,10.7964286,106.6643864,6,Duong lon,Nga 6
366369902,10.8058582,106.6410987,6,Duong nho,Nga 6
366369976,10.7926171,106.6598668,4,Hem/Ngo,Nga tu
366370841,10.8146682,106.6719795,4,Hem/Ngo,Nga tu
366370884,10.7796422,106.6445259,6,Duong lon,Nga 6
366371936,10.7902203,106.640794,4,Duong lon,Nga tu
366372109,10.7833862,106.6613755,6,Duong lon,Nga 6
366372360,10.7993025,106.6563821,6,Duong lon,Nga 6
366372400,10.791368,106.6414231,6,Duong lon,Nga 6
366373568,10.8072974,106.6615214,6,Duong lon,Nga 6
366373656,10.7839027,106.6465703,6,Duong lon,Nga 6
366373991,10.7963062,106.6469313,4,Duong lon,Nga tu
366375943,10.7956238,106.6639667,8,Duong lon,Nga 8
366376504,10.7887216,106.6625878,6,Hem/Ngo,Nga 6
366377240,10.8086299,106.6552412,2,Duong lon,Duong thang
366379261,10.8023233,106.6416505,3,Duong lon,Nga ba
366379315,10.7909631,106.6412738,6,Duong lon,Nga 6
366380463,10.7964983,106.6546622,4,Duong lon,Nga tu
366380528,10.7776167,106.6519915,6,Hem/Ngo,Nga 6
366380840,10.7801864,106.6533088,6,Hem/Ngo,Nga 6
366381292,10.7771508,106.6522564,6,Hem/Ngo,Nga 6
366381474,10.8282715,106.6365608,2,Hem/Ngo,Duong thang
366381936,10.7901721,106.655176,2,Hem/Ngo,Duong thang
366382479,10.8093335,106.6480851,6,Duong lon,Nga 6
366382807,10.7977201,106.6496075,6,Duong nho,Nga 6
366383494,10.7778492,106.6537393,6,Duong nho,Nga 6
366384365,10.7932802,106.6670886,4,Hem/Ngo,Nga tu
366384461,10.7943767,106.6426525,8,Duong lon,Nga 8
366384546,10.7765539,106.6533297,6,Hem/Ngo,Nga 6
366384620,10.7808659,106.6540552,6,Duong nho,Nga 6
366384637,10.7837969,106.661778,2,Duong lon,Duong thang
366384785,10.793286,106.6664289,6,Hem/Ngo,Nga 6
366385430,10.7937036,106.6566094,6,Duong lon,Nga 6
366386004,10.817234,106.637042,5,Duong lon,Nga 5
366386373,10.8009599,106.652582,6,Duong nho,Nga 6
366386647,10.8233495,106.6361631,6,Duong nho,Nga 6
366388443,10.7995707,106.6509174,8,Duong nho,Nga 8
366388635,10.8125003,106.664351,2,Duong lon,Duong thang
366390571,10.7963946,106.6467667,4,Duong lon,Nga tu
366393276,10.7845984,106.6522654,6,Duong nho,Nga 6
366393436,10.7994593,106.6524496,6,Duong nho,Nga 6
366399081,10.7888655,106.6455004,6,Duong nho,Nga 6
366400309,10.7934898,106.6649853,6,Duong nho,Nga 6
366401235,10.8079193,106.6628729,6,Duong lon,Nga 6
366401316,10.7883229,106.6620189,6,Duong lon,Nga 6
366401453,10.802996,106.660681,6,Duong lon,Nga 6
366401647,10.7834601,106.652919,5,Duong nho,Nga 5
366402145,10.7806545,106.653196,2,Hem/Ngo,Duong thang
366402781,10.8146428,106.6659035,6,Duong lon,Nga 6
366403291,10.7792906,106.6551579,6,Duong nho,Nga 6
366404398,10.8087192,106.6696415,4,Hem/Ngo,Nga tu
366404401,10.8133416,106.6671455,4,Duong lon,Nga tu
366405142,10.7930084,106.657935,6,Duong lon,Nga 6
366405431,10.8236476,106.6299029,4,Duong lon,Nga tu
366405629,10.7758207,106.6533519,6,Duong lon,Nga 6
366405688,10.8090756,106.6552677,3,Duong lon,Nga ba
366405690,10.7955926,106.6408283,8,Duong lon,Nga 8
366405923,10.7912333,106.6498827,6,Duong nho,Nga 6
366406013,10.8294058,106.6401284,2,Duong nho,Duong thang
366406232,10.8059046,106.6643717,4,Duong lon,Nga tu
366407106,10.780723,106.6437899,6,Duong lon,Nga 6
